20,614,1035,1489,2,90,49,614,90,613,2442,4043,1666,2080,10,552,1,1303,1899,2268,148,1561,1,2,1,1163,11653
443,1,14,8,838,1,1,1,376,27,27,282,3,119,866,1,1,536,22,8,461,3,1,1,1620,14,35
456,1,24,1,2684,1,1,3205,2198,1,645,249,14,399,986,13,1,6,3,195,69,15,1,1,5,1,745
1302,60,114,36,2220,1,1,45,1103,19,118,727,53,700,2049,94,1,538,124,90,448,315,1,1,1046,16,1114
21,746,1735,2120,5,17,77,966,24,1278,1432,2957,2491,2894,91,474,1,1057,1795,1417,65,716,2,56,1,1400,14608
86,1,1,1,28,56,1,1,58,1,1,14,1,6,59,1,1,38,1,54,20,1,1,1,10,1,24
53,1,1,1,59,1,1,5,47,1,1,13,5,18,36,1,1,77,1,1,19,1,1,1,3,1,30
929,5,161,19,273,1,1,1,33,1,24,1687,83,442,2465,1,1,630,6,250,400,235,1,1,324,2,1024
55,135,1941,682,103,13,33,184,50,183,861,2500,1381,1488,42,121,1,433,1204,1611,22,939,4,1,1,523,7801
1665,11,16,261,2988,1,1,9,1568,5,13,20,143,100,40,10,1,6,845,80,45,36,1,1,1,3,332
1981,1,26,799,765,1,1,19,29,1,19,988,27,304,3730,5,1,1071,47,393,1017,80,1,1,933,29,2202
3851,20,103,30,3262,4,2,69,2051,1,217,25,65,428,2087,5,1,1,77,62,569,15,8,1,698,129,5707
1359,17,46,8,1311,1,1,31,1554,2,105,281,2,545,738,37,1,219,86,27,1248,6,1,1,369,62,3873
4278,12,664,84,6953,8,40,8,2909,3,244,5,1,75,1769,1,1,1,152,194,754,6,1,1,1198,118,1819
6,836,1114,1498,8,41,28,955,18,443,2021,1017,1056,1309,25,1739,1,1063,1519,895,2831,2261,4,9,2,1412,7565
1957,1,14,1,590,3,1,3,525,13,18,449,1,72,3264,1,1,4369,134,206,312,1,1,1,89,1,1014
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1
3287,17,168,164,2287,2,28,164,2174,1,274,66,67,456,3742,55,1,43,533,268,1115,199,7,1,639,159,525
572,16,107,6,5007,9,1,40,2057,6,1087,1140,432,585,722,483,1,93,62,4315,284,664,1,1,145,1,1684
2852,6,27,2,4000,1,1,12,2245,5,244,317,79,431,3158,2,1,1552,47,59,907,366,1,1,677,3,2567
10,301,812,775,10,71,5,321,3,392,580,449,351,211,1,347,1,228,1170,636,5,289,10,1,1,821,5357
2533,2,85,53,2734,1,1,3,1888,2,94,324,3,431,921,18,1,509,563,43,345,4,1,1,1681,399,1072
18,1,1,1,4,1,1,10,25,1,2,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,2
2,1,2,1,2,1,1,1,7,1,1,1,1,1,8,36,1,1,1,8,1,1,1,1,1,1,3
1,336,756,149,4,1,3,101,1,32,179,784,697,202,3,127,1,173,779,303,3,124,1,1,1,286,4453
2398,147,86,548,2168,1,1,114,963,34,351,264,170,902,312,266,1,188,79,216,312,326,1,1,51,18,1622
5273,2419,2863,3600,140,135,98,2114,315,5137,3469,884,3138,7095,2551,8649,2,2306,8371,5960,1752,5547,31,1,5,4978,585
